::::
Sl.No:District:Area/Places:Enroll No:Channels
1:ariyalur:ariyalur:55625:KM TV
2:ariyalur:ariyalur:55626:TIME TV
3:ariyalur:ariyalur:55624:AMN TV (ariyalur)
4:ariyalur:Jeyamkondan (Incl. Udayarpalayam):55627:ROJAA TV
5:ariyalur:Jeyamkondan (Incl. Udayarpalayam):55628:KKC CHANNEL
6:ariyalur:Jeyamkondan (Incl. Udayarpalayam):55629:AMMAN TV
7:ariyalur:Jeyamkondan (Incl. Udayarpalayam):55630:SUKRAA TV
8:ariyalur:Jeyamkondan (Incl. Udayarpalayam):55631:INDIRA TV
9:ariyalur:Jeyamkondan (Incl. Udayarpalayam):55632:SS DIGITAL CHANNEL
10:ariyalur:Jeyamkondan (Incl. Udayarpalayam):55633:SS LOVE CHANNEL
11:ariyalur:Jeyamkondan (Incl. Udayarpalayam):55634:JAYAM TV
12:ariyalur:Jeyamkondan (Incl. Udayarpalayam):55635:NR TV
13:Coimbatore:Annur:55670:KIX ENTERTAINMENT
14:Coimbatore:Comimbatore (North & South):55636:AMN TV
15:Coimbatore:Comimbatore (North & South):55637:MM TV
16:Coimbatore:Comimbatore (North & South):55638:POLIMER CHANNEL
17:Coimbatore:Comimbatore (North & South):55639:U TV
18:Coimbatore:Comimbatore (North & South):55640:MOVEMENTS D TV
19:Coimbatore:Kinathukadavu:55636:AMN TV
20:Coimbatore:Kinathukadavu:55637:MM TV
21:Coimbatore:Kinathukadavu:55638:POLIMER TV
22:Coimbatore:Kinathukadavu:55639:U TV
23:Coimbatore:Kinathukadavu:55640:MOVEMENTS D TV
24:Coimbatore:Mettupalayam:55643:ANJANEYA TV
25:Coimbatore:Mettupalayam:55644:NT TV
26:Coimbatore:Mettupalayam:55645:U TV
27:Coimbatore:Mettupalayam:55656:INDIAN TV
28:Coimbatore:Mettupalayam:55657:SAI TV
29:Coimbatore:Mettupalayam:55658:VARUN TV
30:Coimbatore:Mettupalayam:55659:ROJA TV
31:Coimbatore:Mettupalayam:55650:Q TV
32:Coimbatore:Mettupalayam:56537:LIVI JESUS NETWOK
33:Coimbatore:Mettupalayam:56763:POLIMER CHANNEL
34:Coimbatore:Mettupalayam:56765:MOVEMENTS D TV
35:Coimbatore:Mettupalayam:55651:VIRIN
36:Coimbatore:Mettupalayam:56769:SHINE NETWORK
37:Coimbatore:Mettupalayam:56771:MM TV
38:Coimbatore:Pollachi:55671:AMN TV
39:Coimbatore:Pollachi:55672:POPULAR TV
40:Coimbatore:Pollachi:55673:LCV
41:Coimbatore:Pollachi:55674:AASAI TV
42:Coimbatore:Pollachi:56711:CITY TV
43:Coimbatore:Pollachi:56710:SS TV
44:Coimbatore:Sulur:55641:THENDRAL TV
45:Coimbatore:Sulur:55642:SINGAM TV
46:Coimbatore:Sulur:55652:MM TV
47:Coimbatore:Sulur:55653:SARAN TV
48:Coimbatore:Sulur:55654:N TV
49:Coimbatore:Sulur:55655:SAARAL TV
50:Coimbatore:Sulur:55656:NAM NAADU
51:Coimbatore:Sulur:55657:AMIRTHA DIGITAL TV
52:Coimbatore:Sulur:56507:MTN TV
53:Coimbatore:Sulur:56532:S TV
54:Cuddalore:Chidambaram:55703:MOTHER CABLE TV
